,Unnamed: 0.1,Unnamed: 0,vid,video_path,en_srt,zh_srt,age,gender,interests,level,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,zhihu_url,ar_srt
141,141.0,145.0,146,Video_Finished\146\146_CE.mp4,Video_Finished\146\146_English.srt,Video_Finished\146\146_Chinese.srt,"k12, adult","male, female"," Love & Relationships, Psychology",B2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835312201096892417,Video_Finished\146\146_Arbic.srt
142,142.0,146.0,147,Video_Finished\147\147_CE.mp4,Video_Finished\147\147_English.srt,Video_Finished\147\147_Chinese.srt,"prek, k12, adult","male, female","Pets, Entertainment, Nature, Science",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835312241064435712,Video_Finished\147\147_Arbic.srt
143,143.0,147.0,148,Video_Finished\148\148_CE.mp4,Video_Finished\148\148_English.srt,Video_Finished\148\148_Chinese.srt,"k12, adult","male, female","Love & Relationships, Psychology",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835312426477813760,Video_Finished\148\148_Arbic.srt
144,144.0,148.0,149,Video_Finished\149\149_CE.mp4,Video_Finished\149\149_English.srt,Video_Finished\149\149_Chinese.srt,"k12, adult","male, female",Food,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835312484854136833,Video_Finished\149\149_Arbic.srt
145,145.0,149.0,150,Video_Finished\150\150_CE.mp4,Video_Finished\150\150_English.srt,Video_Finished\150\150_Chinese.srt,"prek, k12, adult","male, female","Food, Psychology, Entertainment",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835312543486328833,Video_Finished\150\150_Arbic.srt
146,146.0,150.0,151,Video_Finished\151\151_CE.mp4,Video_Finished\151\151_English.srt,Video_Finished\151\151_Chinese.srt,"k12, adult","male, female","Education, Entertainment, Science",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835326743289946114,Video_Finished\151\151_Arbic.srt
147,147.0,151.0,152,Video_Finished\152\152_CE.mp4,Video_Finished\152\152_English.srt,Video_Finished\152\152_Chinese.srt,"k12, adult","male, female","Gaming, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835326911930327040,Video_Finished\152\152_Arbic.srt
148,148.0,152.0,153,Video_Finished\153\153_CE.mp4,Video_Finished\153\153_English.srt,Video_Finished\153\153_Chinese.srt,"prek, k12, adult","male, female","Music, Thriller, Entertainment",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835326955018387458,Video_Finished\153\153_Arbic.srt
149,149.0,153.0,154,Video_Finished\154\154_CE.mp4,Video_Finished\154\154_English.srt,Video_Finished\154\154_Chinese.srt,"k12, adult","male, female","Gaming, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327014040637440,Video_Finished\154\154_Arbic.srt
150,151.0,155.0,156,Video_Finished\156\156_CE.mp4,Video_Finished\156\156_English.srt,Video_Finished\156\156_Chinese.srt,"prek, k12, adult","male, female","Gaming, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327114884288512,Video_Finished\156\156_Arbic.srt
151,152.0,156.0,157,Video_Finished\157\157_CE.mp4,Video_Finished\157\157_English.srt,Video_Finished\157\157_Chinese.srt,"k12, adult","male, female","Travel, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327164859424769,Video_Finished\157\157_Arbic.srt
152,153.0,157.0,158,Video_Finished\158\158_CE.mp4,Video_Finished\158\158_English.srt,Video_Finished\158\158_Chinese.srt,"k12, adult","male, female","Travel, Nature",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327265883426817,Video_Finished\158\158_Arbic.srt
153,154.0,158.0,159,Video_Finished\159\159_CE.mp4,Video_Finished\159\159_English.srt,Video_Finished\159\159_Chinese.srt,adult,"male, female","Travel, Nature",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327314109550592,Video_Finished\159\159_Arbic.srt
154,155.0,159.0,160,Video_Finished\160\160_CE.mp4,Video_Finished\160\160_English.srt,Video_Finished\160\160_Chinese.srt,"k12, adult",female,Beauty,A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327411417399296,Video_Finished\160\160_Arbic.srt
